id,name,avail_slots,game_id,num_of_slots,date,city_location,type,prize_pool,currency,mode,fee,description,min_age,subject,preheader,content,lat,long
a0P2X00000XTBz5UAH,Bewitched Gaming 2020: CS:GO,32,a0N2X00000LcqAZUAZ,32,7/30/2020 12:00:00 AM,Cracow,Online & LAN,150000,PLN,Team (5 vs 5),50,IV edition of Bewitched Gaming Ostrowiec tournament. CS:GO competition.,18,This is your example CS:GO Torunament subject,This is your example CS:GO Torunament preheader,Let's make this right as rain.,50.04802100,19.93268800
a0P2X00000XTBz6UAH,Bewitched Gaming 2020: League of Legends,32,a0N2X00000LcqAfUAJ,32,6/20/2020 12:00:00 AM,Warsaw,Online & LAN,250000,PLN,Team (5 vs 5),50,IV edition of Bewitched Gaming Ostrowiec tournament. League of Legends competition.,14,This is your example League of Legends Torunament subject,This is your example League of Legends Torunament preheader,Welcome Summoner!,52.23304200,20.98113400
a0P2X00000XTBz7UAH,Bewitched Gaming 2020: Hearthstone,64,a0N2X00000LcqAbUAJ,64,12/30/2020 12:00:00 AM,Warsaw,Online & LAN,50000,EUR,Solo (1 vs 1),0,Online tournament in game Hearthstone.,14,This is your example Hearthstone Torunament subject,This is your example Heathstone Torunament preheader,Put your faith in the Light!,52.23304200,20.98113400
a0P2X00000XTBz8UAH,Epic Fortnite Tournament,128,a0N2X00000LcqAaUAJ,128,4/17/2020 12:00:00 AM,a095J000000IC1PQAW,Online,1000000,USD,Battle Royale,0,"Epic, BIG, crazy Fortnite Tournament! Join us and win amazing prizes!",16,This is your example Fortnite subject,This is your example Fortnite preheader,Let's roll!,,
a0P2X00000XTBz9UAH,Old tournament,16,a0N2X00000LcqAfUAJ,16,1/23/2020 12:00:00 AM,Lublin,LAN,1000,EUR,Team (3 vs 3),25,Test record for old tournaments,16,Example Old Tournament subject,Example Old Tournament preheader,Let's go Player Number One!,50.96209900,21.35270900
a0P2X00000XTO7pUAH,Clash of Titans 2020: League of Legends,32,a0N2X00000LcqAfUAJ,32,7/15/2020 12:00:00 AM,Katowice,LAN,100000,EUR,Team (5 vs 5),0,"Clash of Titans is a series of international esports tournaments held in countries around the world. These sanctioned events, sponsored by Intel, include events in Starcraft II, Counter-Strike: Global Offensive, Quake Live, League of Legends and Hearthsto",14,This is your example League of Legends Torunament subject,This is your example League of Legends Torunament preheader,Welcome Summoner!,50.26362200,19.03560900
a0P2X00000XTOMOUA5,Bewitched Gaming 2020: Overwatch,32,a0N2X00000LcqAdUAJ,32,9/30/2020 12:00:00 AM,Warsaw,LAN,250000,PLN,Team (6 vs 6),50,"Super, epic, semi-pro Overwatch Tournament. Join us and win amazing prizes, yeah!",14,This is your example Overwatch Torunament subject,This is your example Overwatch Torunament preheader,Heroes never die!,52.23304200,20.98113400
a0P2X00000XTO8OUAX,Clash of Titans 2020: Counter Strike: Global Offensive,64,a0N2X00000LcqAZUAZ,64,8/30/2020 12:00:00 AM,Cracow,Online & LAN,250000,USD,Team (5 vs 5),100,"Clash of Titans is a series of international esports tournaments held in countries around the world. These sanctioned events, sponsored by Intel, include events in Starcraft II, Counter-Strike: Global Offensive, Quake Live, League of Legends and Hearthsto",18,This is your example CS:GO Torunament subject,This is your example CS:GO Torunament preheader,Let's make this right as rain.,50.04699800,19.93288500
a0P2X00000XTUmKUAX,testing,,,,,Lublin,LAN,,,,,,25,testing subject,This is test preheader,Let's make it GG WP Easy.,50.96209900,21.35270900
a0P2X00000XTX3pUAH,Example Online Tournament 2020,32,a0N2X00000LcqAdUAJ,32,7/31/2020 12:00:00 AM,,Online,100000,PLN,Team (6 vs 6),100,This is Exmaple Online Tournament 2k20. Win Exmaple Prizes and be Victorious!,30,This is Example Online Tournament 2020,This is EOT 2020 preheader,Let's make it GG WP Easy.,,
